"Gene"	"N"	"Freq"
"Homsap TRBV12-3"	1117	6.1825427575137
"Homsap TRBV19"	1084	5.99988930093541
"Homsap TRBV5-1"	1051	5.81723584435712
"Homsap TRBV20-1"	1023	5.66225715392705
"Homsap TRBV6-5"	957	5.29695024077047
"Homsap TRBV6-1"	761	4.21209940776
"Homsap TRBV28"	735	4.06819062378923
"Homsap TRBV30"	716	3.96302651242597
"Homsap TRBV6-2"	605	3.34864670393535
"Homsap TRBV7-2"	593	3.28222726517961
"Homsap TRBV10-3"	571	3.16045829412741
"Homsap TRBV6-6"	563	3.11617866829025
"Homsap TRBV27"	549	3.03868932307522
"Homsap TRBV18"	541	2.99440969723806
"Homsap TRBV2"	539	2.98333979077877
"Homsap TRBV5-4"	516	2.85603586649693
"Homsap TRBV7-9"	514	2.84496596003764
"Homsap TRBV11-2"	502	2.7785465212819
"Homsap TRBV5-6"	484	2.67891736314828
"Homsap TRBV29-1"	470	2.60142801793325
"Homsap TRBV4-1"	466	2.57928820501467
"Homsap TRBV4-3"	432	2.39109979520673
"Homsap TRBV7-8"	425	2.35235512259921
"Homsap TRBV5-5"	400	2.21398129185808
"Homsap TRBV4-2"	390	2.15863175956163
"Homsap TRBV15"	251	1.38927326064095
"Homsap TRBV6-4"	215	1.19001494437372
"Homsap TRBV11-3"	179	0.990756628106492
"Homsap TRBV12-5"	171	0.946477002269331
"Homsap TRBV24-1"	160	0.885592516743233
"Homsap TRBV10-1"	151	0.835777937676427
"Homsap TRBV10-2"	144	0.79703326506891
"Homsap TRBV13"	116	0.642054574638844
"Homsap TRBV7-6"	109	0.603309902031328
"Homsap TRBV11-1"	100	0.553495322964521
"Homsap TRBV14"	100	0.553495322964521
"Homsap TRBV25-1"	96	0.53135551004594
"Homsap TRBV5-8"	76	0.420656445453036
"Homsap TRBV9"	44	0.243537942104389
"Homsap TRBV7-3"	32	0.177118503348647
"Homsap TRBV7-7"	32	0.177118503348647
"Homsap TRBV6-8"	31	0.171583550119002
"Homsap TRBV3-1"	22	0.121768971052195
"Homsap TRBV7-4"	21	0.116234017822549
"Homsap TRBV6-9"	12	0.0664194387557425
"Homsap TRBV16"	1	0.00553495322964521
