"","p-values","genes","rank","(i/m)Q (Q=0.1)","BH correction (Q = 0.1)","(i/m)Q (Q=0.05)","BH correction (Q = 0.05)","Bonferroni threshold","Bonferroni correction (a = 0.05)"
"10",0.0102820482219489,"TRBV13",1,0.00212765957446809,TRUE,0.00106382978723404,TRUE,0.00106382978723404,FALSE
"43",0.0102820482219489,"TRBV7-6",2,0.00425531914893617,TRUE,0.00212765957446809,TRUE,0.00106382978723404,FALSE
"44",0.0102820482219489,"TRBV7-7",3,0.00638297872340426,TRUE,0.00319148936170213,TRUE,0.00106382978723404,FALSE
"1",0.0105152459358589,"TRBV10-1",4,0.00851063829787234,TRUE,0.00425531914893617,TRUE,0.00106382978723404,FALSE
"5",0.0105152459358589,"TRBV11-2",5,0.0106382978723404,TRUE,0.00531914893617021,TRUE,0.00106382978723404,FALSE
"16",0.0105152459358589,"TRBV2",6,0.0127659574468085,TRUE,0.00638297872340426,TRUE,0.00106382978723404,FALSE
"17",0.0105152459358589,"TRBV20-1",7,0.0148936170212766,TRUE,0.0074468085106383,TRUE,0.00106382978723404,FALSE
"32",0.0105152459358589,"TRBV5-8",8,0.0170212765957447,TRUE,0.00851063829787234,TRUE,0.00106382978723404,FALSE
"36",0.0105152459358589,"TRBV6-5",9,0.0191489361702128,TRUE,0.00957446808510638,TRUE,0.00106382978723404,FALSE
"37",0.0105152459358589,"TRBV6-6",10,0.0212765957446809,TRUE,0.0106382978723404,TRUE,0.00106382978723404,FALSE
"45",0.0105152459358589,"TRBV7-8",11,0.0234042553191489,TRUE,0.0117021276595745,TRUE,0.00106382978723404,FALSE
"46",0.0105152459358589,"TRBV7-9",12,0.025531914893617,TRUE,0.0127659574468085,TRUE,0.00106382978723404,FALSE
"18",0.0190164736723005,"TRBV24-1",13,0.0276595744680851,TRUE,0.0138297872340426,FALSE,0.00106382978723404,FALSE
"28",0.0190164736723005,"TRBV5-1",14,0.0297872340425532,TRUE,0.0148936170212766,FALSE,0.00106382978723404,FALSE
"40",0.0190164736723005,"TRBV7-2",15,0.0319148936170213,TRUE,0.0159574468085106,FALSE,0.00106382978723404,FALSE
"47",0.0190164736723005,"TRBV9",16,0.0340425531914894,TRUE,0.0170212765957447,FALSE,0.00106382978723404,FALSE
"11",0.0324764024728783,"TRBV14",17,0.0361702127659575,TRUE,0.0180851063829787,FALSE,0.00106382978723404,FALSE
"9",0.0330062576612324,"TRBV12-5",18,0.0382978723404255,TRUE,0.0191489361702128,FALSE,0.00106382978723404,FALSE
"19",0.0330062576612324,"TRBV25-1",19,0.0404255319148936,TRUE,0.0202127659574468,FALSE,0.00106382978723404,FALSE
"23",0.0330062576612324,"TRBV3-1",20,0.0425531914893617,TRUE,0.0212765957446809,FALSE,0.00106382978723404,FALSE
"25",0.0330062576612324,"TRBV4-1",21,0.0446808510638298,TRUE,0.0223404255319149,FALSE,0.00106382978723404,FALSE
"29",0.0330062576612324,"TRBV5-4",22,0.0468085106382979,TRUE,0.0234042553191489,FALSE,0.00106382978723404,FALSE
"6",0.0542734630909739,"TRBV11-3",23,0.048936170212766,TRUE,0.024468085106383,FALSE,0.00106382978723404,FALSE
"4",0.0550088336292658,"TRBV11-1",24,0.051063829787234,TRUE,0.025531914893617,FALSE,0.00106382978723404,FALSE
"7",0.0550088336292658,"TRBV12-3",25,0.0531914893617021,TRUE,0.0265957446808511,FALSE,0.00106382978723404,FALSE
"14",0.0550088336292658,"TRBV18",26,0.0553191489361702,TRUE,0.0276595744680851,FALSE,0.00106382978723404,FALSE
"15",0.0550088336292658,"TRBV19",27,0.0574468085106383,TRUE,0.0287234042553192,FALSE,0.00106382978723404,FALSE
"21",0.0550088336292658,"TRBV28",28,0.0595744680851064,TRUE,0.0297872340425532,FALSE,0.00106382978723404,FALSE
"30",0.0550088336292658,"TRBV5-5",29,0.0617021276595745,TRUE,0.0308510638297872,FALSE,0.00106382978723404,FALSE
"34",0.0550088336292658,"TRBV6-2",30,0.0638297872340425,TRUE,0.0319148936170213,FALSE,0.00106382978723404,FALSE
"8",0.0861551484702508,"TRBV12-4",31,0.0659574468085106,FALSE,0.0329787234042553,FALSE,0.00106382978723404,FALSE
"38",0.0871184374471473,"TRBV6-8",32,0.0680851063829787,FALSE,0.0340425531914894,FALSE,0.00106382978723404,FALSE
"3",0.0880815116621905,"TRBV10-3",33,0.0702127659574468,FALSE,0.0351063829787234,FALSE,0.00106382978723404,FALSE
"20",0.0880815116621905,"TRBV27",34,0.0723404255319149,FALSE,0.0361702127659575,FALSE,0.00106382978723404,FALSE
"24",0.0880815116621905,"TRBV30",35,0.074468085106383,FALSE,0.0372340425531915,FALSE,0.00106382978723404,FALSE
"2",0.135593001266303,"TRBV10-2",36,0.0765957446808511,FALSE,0.0382978723404255,FALSE,0.00106382978723404,FALSE
"12",0.135593001266303,"TRBV15",37,0.0787234042553192,FALSE,0.0393617021276596,FALSE,0.00106382978723404,FALSE
"26",0.135593001266303,"TRBV4-2",38,0.0808510638297872,FALSE,0.0404255319148936,FALSE,0.00106382978723404,FALSE
"33",0.135593001266303,"TRBV6-1",39,0.0829787234042553,FALSE,0.0414893617021277,FALSE,0.00106382978723404,FALSE
"41",0.135593001266303,"TRBV7-3",40,0.0851063829787234,FALSE,0.0425531914893617,FALSE,0.00106382978723404,FALSE
"13",0.136594578576949,"TRBV16",41,0.0872340425531915,FALSE,0.0436170212765958,FALSE,0.00106382978723404,FALSE
"31",0.200825122695146,"TRBV5-6",42,0.0893617021276596,FALSE,0.0446808510638298,FALSE,0.00106382978723404,FALSE
"22",0.286422022777859,"TRBV29-1",43,0.0914893617021277,FALSE,0.0457446808510638,FALSE,0.00106382978723404,FALSE
"35",0.286422022777859,"TRBV6-4",44,0.0936170212765958,FALSE,0.0468085106382979,FALSE,0.00106382978723404,FALSE
"42",0.286422022777859,"TRBV7-4",45,0.0957446808510638,FALSE,0.0478723404255319,FALSE,0.00106382978723404,FALSE
"27",0.392330339776565,"TRBV4-3",46,0.0978723404255319,FALSE,0.048936170212766,FALSE,0.00106382978723404,FALSE
"39",0.521165931150544,"TRBV6-9",47,0.1,FALSE,0.05,FALSE,0.00106382978723404,FALSE
