"","p-values (Fisher)","genes","rank","(i/m)Q (Q=0.1)","BH correction (Q = 0.1)","(i/m)Q (Q=0.05)","BH correction (Q = 0.05)","Bonferroni threshold","Bonferroni correction (a = 0.05)"
"8",0.219047619047619,"TRBV12-4",1,0.00212765957446809,FALSE,0.00106382978723404,FALSE,0.00106382978723404,FALSE
"6",0.466666666666666,"TRBV11-3",2,0.00425531914893617,FALSE,0.00212765957446809,FALSE,0.00106382978723404,FALSE
"10",0.466666666666666,"TRBV13",3,0.00638297872340426,FALSE,0.00319148936170213,FALSE,0.00106382978723404,FALSE
"11",0.466666666666666,"TRBV14",4,0.00851063829787234,FALSE,0.00425531914893617,FALSE,0.00106382978723404,FALSE
"27",0.466666666666666,"TRBV4-3",5,0.0106382978723404,FALSE,0.00531914893617021,FALSE,0.00106382978723404,FALSE
"38",0.466666666666666,"TRBV6-8",6,0.0127659574468085,FALSE,0.00638297872340426,FALSE,0.00106382978723404,FALSE
"39",0.466666666666666,"TRBV6-9",7,0.0148936170212766,FALSE,0.0074468085106383,FALSE,0.00106382978723404,FALSE
"43",0.466666666666666,"TRBV7-6",8,0.0170212765957447,FALSE,0.00851063829787234,FALSE,0.00106382978723404,FALSE
"44",0.466666666666666,"TRBV7-7",9,0.0191489361702128,FALSE,0.00957446808510638,FALSE,0.00106382978723404,FALSE
"13",0.809523809523808,"TRBV16",10,0.0212765957446809,FALSE,0.0106382978723404,FALSE,0.00106382978723404,FALSE
"1",0.999999999999999,"TRBV10-1",11,0.0234042553191489,FALSE,0.0117021276595745,FALSE,0.00106382978723404,FALSE
"2",0.999999999999999,"TRBV10-2",12,0.025531914893617,FALSE,0.0127659574468085,FALSE,0.00106382978723404,FALSE
"3",0.999999999999999,"TRBV10-3",13,0.0276595744680851,FALSE,0.0138297872340426,FALSE,0.00106382978723404,FALSE
"4",0.999999999999999,"TRBV11-1",14,0.0297872340425532,FALSE,0.0148936170212766,FALSE,0.00106382978723404,FALSE
"5",0.999999999999999,"TRBV11-2",15,0.0319148936170213,FALSE,0.0159574468085106,FALSE,0.00106382978723404,FALSE
"7",0.999999999999999,"TRBV12-3",16,0.0340425531914894,FALSE,0.0170212765957447,FALSE,0.00106382978723404,FALSE
"9",0.999999999999999,"TRBV12-5",17,0.0361702127659575,FALSE,0.0180851063829787,FALSE,0.00106382978723404,FALSE
"12",0.999999999999999,"TRBV15",18,0.0382978723404255,FALSE,0.0191489361702128,FALSE,0.00106382978723404,FALSE
"14",0.999999999999999,"TRBV18",19,0.0404255319148936,FALSE,0.0202127659574468,FALSE,0.00106382978723404,FALSE
"15",0.999999999999999,"TRBV19",20,0.0425531914893617,FALSE,0.0212765957446809,FALSE,0.00106382978723404,FALSE
"16",0.999999999999999,"TRBV2",21,0.0446808510638298,FALSE,0.0223404255319149,FALSE,0.00106382978723404,FALSE
"17",0.999999999999999,"TRBV20-1",22,0.0468085106382979,FALSE,0.0234042553191489,FALSE,0.00106382978723404,FALSE
"18",0.999999999999999,"TRBV24-1",23,0.048936170212766,FALSE,0.024468085106383,FALSE,0.00106382978723404,FALSE
"19",0.999999999999999,"TRBV25-1",24,0.051063829787234,FALSE,0.025531914893617,FALSE,0.00106382978723404,FALSE
"20",0.999999999999999,"TRBV27",25,0.0531914893617021,FALSE,0.0265957446808511,FALSE,0.00106382978723404,FALSE
"21",0.999999999999999,"TRBV28",26,0.0553191489361702,FALSE,0.0276595744680851,FALSE,0.00106382978723404,FALSE
"22",0.999999999999999,"TRBV29-1",27,0.0574468085106383,FALSE,0.0287234042553192,FALSE,0.00106382978723404,FALSE
"23",0.999999999999999,"TRBV3-1",28,0.0595744680851064,FALSE,0.0297872340425532,FALSE,0.00106382978723404,FALSE
"24",0.999999999999999,"TRBV30",29,0.0617021276595745,FALSE,0.0308510638297872,FALSE,0.00106382978723404,FALSE
"25",0.999999999999999,"TRBV4-1",30,0.0638297872340425,FALSE,0.0319148936170213,FALSE,0.00106382978723404,FALSE
"26",0.999999999999999,"TRBV4-2",31,0.0659574468085106,FALSE,0.0329787234042553,FALSE,0.00106382978723404,FALSE
"28",0.999999999999999,"TRBV5-1",32,0.0680851063829787,FALSE,0.0340425531914894,FALSE,0.00106382978723404,FALSE
"29",0.999999999999999,"TRBV5-4",33,0.0702127659574468,FALSE,0.0351063829787234,FALSE,0.00106382978723404,FALSE
"30",0.999999999999999,"TRBV5-5",34,0.0723404255319149,FALSE,0.0361702127659575,FALSE,0.00106382978723404,FALSE
"31",0.999999999999999,"TRBV5-6",35,0.074468085106383,FALSE,0.0372340425531915,FALSE,0.00106382978723404,FALSE
"32",0.999999999999999,"TRBV5-8",36,0.0765957446808511,FALSE,0.0382978723404255,FALSE,0.00106382978723404,FALSE
"33",0.999999999999999,"TRBV6-1",37,0.0787234042553192,FALSE,0.0393617021276596,FALSE,0.00106382978723404,FALSE
"34",0.999999999999999,"TRBV6-2",38,0.0808510638297872,FALSE,0.0404255319148936,FALSE,0.00106382978723404,FALSE
"35",0.999999999999999,"TRBV6-4",39,0.0829787234042553,FALSE,0.0414893617021277,FALSE,0.00106382978723404,FALSE
"36",0.999999999999999,"TRBV6-5",40,0.0851063829787234,FALSE,0.0425531914893617,FALSE,0.00106382978723404,FALSE
"37",0.999999999999999,"TRBV6-6",41,0.0872340425531915,FALSE,0.0436170212765958,FALSE,0.00106382978723404,FALSE
"40",0.999999999999999,"TRBV7-2",42,0.0893617021276596,FALSE,0.0446808510638298,FALSE,0.00106382978723404,FALSE
