"Gene"	"N"	"Freq"
"Homsap TRBV12-3"	377	7.64550801054553
"Homsap TRBV6-1"	373	7.56438856215778
"Homsap TRBV10-3"	356	7.21963090650984
"Homsap TRBV6-5"	302	6.1245183532752
"Homsap TRBV19"	272	5.51612249036707
"Homsap TRBV6-2"	271	5.49584262827013
"Homsap TRBV29-1"	246	4.98884607584668
"Homsap TRBV27"	240	4.86716690326506
"Homsap TRBV28"	215	4.36017035084161
"Homsap TRBV5-6"	202	4.09653214358142
"Homsap TRBV18"	177	3.58953559115798
"Homsap TRBV11-2"	171	3.46785641857635
"Homsap TRBV5-1"	131	2.65666193469884
"Homsap TRBV5-4"	126	2.55526262421416
"Homsap TRBV6-6"	120	2.43358345163253
"Homsap TRBV7-9"	117	2.37274386534172
"Homsap TRBV6-4"	111	2.25106469276009
"Homsap TRBV15"	98	1.9874264854999
"Homsap TRBV20-1"	97	1.96714662340296
"Homsap TRBV7-2"	95	1.92658689920909
"Homsap TRBV2"	89	1.80490772662746
"Homsap TRBV5-5"	82	1.66294869194889
"Homsap TRBV4-3"	70	1.41959034678564
"Homsap TRBV4-1"	68	1.37903062259177
"Homsap TRBV13"	65	1.31819103630095
"Homsap TRBV30"	52	1.05455282904076
"Homsap TRBV7-8"	48	0.973433380653012
"Homsap TRBV7-6"	46	0.932873656459136
"Homsap TRBV10-2"	38	0.770634759683634
"Homsap TRBV12-5"	36	0.730075035489759
"Homsap TRBV24-1"	31	0.62867572500507
"Homsap TRBV10-1"	30	0.608395862908132
"Homsap TRBV4-2"	29	0.588116000811195
"Homsap TRBV7-3"	28	0.567836138714257
"Homsap TRBV7-4"	22	0.44615696613263
"Homsap TRBV5-8"	21	0.425877104035693
"Homsap TRBV11-1"	19	0.385317379841817
"Homsap TRBV14"	15	0.304197931454066
"Homsap TRBV9"	12	0.243358345163253
"Homsap TRBV11-3"	10	0.202798620969377
"Homsap TRBV12-4"	8	0.162238896775502
"Homsap TRBV7-7"	8	0.162238896775502
"Homsap TRBV3-1"	5	0.101399310484689
"Homsap TRBV25-1"	2	0.0405597241938755
