"Gene"	"N"	"Freq"
"Homsap TRBV6-5"	1077	6.05600539811066
"Homsap TRBV20-1"	1072	6.02789023841655
"Homsap TRBV5-1"	1057	5.94354475933423
"Homsap TRBV19"	1054	5.92667566351777
"Homsap TRBV12-3"	990	5.5668016194332
"Homsap TRBV6-1"	813	4.57152496626181
"Homsap TRBV27"	728	4.09356725146199
"Homsap TRBV30"	681	3.82928475033738
"Homsap TRBV7-2"	603	3.39068825910931
"Homsap TRBV28"	578	3.25011246063878
"Homsap TRBV18"	548	3.08142150247413
"Homsap TRBV6-2"	543	3.05330634278003
"Homsap TRBV7-9"	531	2.98582995951417
"Homsap TRBV29-1"	524	2.94646873594242
"Homsap TRBV6-6"	517	2.90710751237067
"Homsap TRBV11-2"	501	2.81713900134953
"Homsap TRBV5-6"	460	2.58659469185785
"Homsap TRBV5-4"	452	2.54161043634728
"Homsap TRBV4-1"	419	2.35605038236617
"Homsap TRBV2"	392	2.20422852001799
"Homsap TRBV4-3"	370	2.08052181736392
"Homsap TRBV7-8"	369	2.0748987854251
"Homsap TRBV4-2"	344	1.93432298695457
"Homsap TRBV10-3"	330	1.85560053981107
"Homsap TRBV6-4"	324	1.82186234817814
"Homsap TRBV5-5"	299	1.6812865497076
"Homsap TRBV15"	289	1.62505623031939
"Homsap TRBV24-1"	237	1.33265856950067
"Homsap TRBV11-3"	211	1.18645973909132
"Homsap TRBV14"	201	1.1302294197031
"Homsap TRBV7-6"	171	0.961538461538462
"Homsap TRBV12-5"	146	0.820962663067926
"Homsap TRBV13"	141	0.792847503373819
"Homsap TRBV25-1"	127	0.714125056230319
"Homsap TRBV7-3"	116	0.652271704903284
"Homsap TRBV11-1"	111	0.624156545209177
"Homsap TRBV10-2"	99	0.55668016194332
"Homsap TRBV5-8"	86	0.483580746738641
"Homsap TRBV10-1"	84	0.472334682860999
"Homsap TRBV9"	63	0.354251012145749
"Homsap TRBV7-7"	32	0.179937022042285
"Homsap TRBV3-1"	31	0.174313990103464
"Homsap TRBV7-4"	25	0.140575798470535
"Homsap TRBV6-9"	21	0.11808367071525
"Homsap TRBV6-8"	12	0.0674763832658569
"Homsap TRBV12-4"	3	0.0168690958164642
"Homsap TRBV16"	2	0.0112460638776428
