"Gene"	"N"	"Freq"
"Homsap TRBV12-3"	486	9.17847025495751
"Homsap TRBV6-5"	450	8.4985835694051
"Homsap TRBV27"	402	7.59206798866856
"Homsap TRBV6-2"	311	5.87346553352219
"Homsap TRBV6-1"	277	5.23135033050047
"Homsap TRBV10-3"	249	4.70254957507082
"Homsap TRBV19"	231	4.36260623229462
"Homsap TRBV5-1"	215	4.0604343720491
"Homsap TRBV7-9"	196	3.70160528800755
"Homsap TRBV6-6"	187	3.53163361661945
"Homsap TRBV29-1"	186	3.51274787535411
"Homsap TRBV28"	176	3.32389046270066
"Homsap TRBV7-2"	174	3.28611898016997
"Homsap TRBV4-1"	159	3.0028328611898
"Homsap TRBV5-4"	137	2.58734655335222
"Homsap TRBV11-2"	124	2.34183191690274
"Homsap TRBV20-1"	114	2.15297450424929
"Homsap TRBV5-6"	112	2.1152030217186
"Homsap TRBV18"	107	2.02077431539188
"Homsap TRBV15"	104	1.96411709159585
"Homsap TRBV30"	92	1.73748819641171
"Homsap TRBV2"	82	1.54863078375826
"Homsap TRBV4-3"	77	1.45420207743154
"Homsap TRBV4-2"	73	1.37865911237016
"Homsap TRBV5-5"	63	1.18980169971671
"Homsap TRBV24-1"	56	1.0576015108593
"Homsap TRBV6-4"	55	1.03871576959396
"Homsap TRBV7-8"	54	1.01983002832861
"Homsap TRBV7-6"	47	0.887629839471199
"Homsap TRBV10-1"	38	0.717658168083097
"Homsap TRBV12-5"	37	0.698772426817753
"Homsap TRBV13"	31	0.585457979225685
"Homsap TRBV11-3"	30	0.56657223796034
"Homsap TRBV10-2"	26	0.491029272898961
"Homsap TRBV5-8"	19	0.358829084041549
"Homsap TRBV14"	18	0.339943342776204
"Homsap TRBV7-4"	18	0.339943342776204
"Homsap TRBV6-9"	16	0.302171860245515
"Homsap TRBV25-1"	11	0.207743153918791
"Homsap TRBV7-3"	11	0.207743153918791
"Homsap TRBV7-7"	11	0.207743153918791
"Homsap TRBV9"	11	0.207743153918791
"Homsap TRBV12-4"	10	0.188857412653447
"Homsap TRBV11-1"	4	0.0755429650613787
"Homsap TRBV3-1"	3	0.056657223796034
"Homsap TRBV6-8"	2	0.0377714825306893
