"Gene"	"N"	"Freq"
"Homsap TRBV12-3"	1394	8.06993168924395
"Homsap TRBV6-5"	1070	6.19428042144263
"Homsap TRBV28"	1049	6.07271043186292
"Homsap TRBV6-1"	1011	5.85272664119486
"Homsap TRBV5-1"	933	5.40118096561306
"Homsap TRBV27"	855	4.94963529003126
"Homsap TRBV19"	774	4.48072247308093
"Homsap TRBV29-1"	648	3.75130253560264
"Homsap TRBV6-6"	602	3.48500636795184
"Homsap TRBV7-9"	574	3.32291304851221
"Homsap TRBV7-8"	572	3.31133495426653
"Homsap TRBV20-1"	568	3.28817876577515
"Homsap TRBV10-3"	559	3.23607734166956
"Homsap TRBV5-6"	528	3.05661688086141
"Homsap TRBV7-2"	474	2.74400833622786
"Homsap TRBV11-2"	461	2.66875072363089
"Homsap TRBV5-4"	433	2.50665740419127
"Homsap TRBV2"	399	2.30982980201459
"Homsap TRBV5-5"	345	1.99722125738104
"Homsap TRBV12-5"	332	1.92196364478407
"Homsap TRBV6-2"	319	1.8467060321871
"Homsap TRBV4-1"	271	1.56883177029061
"Homsap TRBV24-1"	267	1.54567558179924
"Homsap TRBV18"	260	1.50515225193933
"Homsap TRBV15"	250	1.44726178071089
"Homsap TRBV6-4"	246	1.42410559221952
"Homsap TRBV11-3"	232	1.34305893249971
"Homsap TRBV4-2"	218	1.2620122727799
"Homsap TRBV10-2"	199	1.15202037744587
"Homsap TRBV7-6"	173	1.00150515225194
"Homsap TRBV13"	157	0.908880398286442
"Homsap TRBV10-1"	153	0.885724209795068
"Homsap TRBV5-8"	148	0.85677897418085
"Homsap TRBV11-1"	132	0.764154220215353
"Homsap TRBV7-4"	119	0.688896607618386
"Homsap TRBV7-3"	118	0.683107560495542
"Homsap TRBV9"	101	0.584693759407202
"Homsap TRBV25-1"	86	0.497858052564548
"Homsap TRBV6-8"	78	0.451545675581799
"Homsap TRBV3-1"	60	0.347342827370615
"Homsap TRBV14"	56	0.32418663887924
"Homsap TRBV7-7"	38	0.219983790668056
"Homsap TRBV6-9"	6	0.0347342827370615
"Homsap TRBV12-4"	4	0.0231561884913743
"Homsap TRBV16"	2	0.0115780942456872
